Date,BioRep,Plate,Row,Column,Dilution_factor,Sample_number,Substrate,Pre-treatment,Insult,Sample_type,raw_SEAP,raw_ IFN,raw_viability,normalized_SEAP,normalized_IFN,normalized_viability
20251114,1,BP011,B,7,10,FF0039,Milk,Reggiano Parmesean,LPS+,sample,0.831,21358,1.973,92.027,63.957,128.972
20251114,1,BP011,B,8,10,FF0041,Milk,Point Reyes Bay Blue,LPS+,sample,1.003,15083,1.701,112.172,44.194,106.478
20251114,1,BP011,B,9,10,FF0040,Milk,Swiss Emmentaler,LPS+,sample,0.891,31200,1.893,99.028,94.953,122.364
20251114,1,BP011,B,10,10,FF0042,Milk,Roquefort blue cheese,LPS+,sample,0.952,34375,1.668,106.126,104.952,103.725
20251114,1,BP011,B,11,10,inhibitor1,Control,60uM PDTC,LPS+,inhibitor,0.375,35556,1.715,38.865,108.672,107.572
20251114,1,BP011,B,12,10,inhibitor1,Control,60uM PDTC,LPS+,inhibitor,0.436,47269,1.784,45.915,145.561,113.359
20251114,1,BP011,C,1,10,FF0043,Milk,Laura Chenel,LPS+,sample,1.003,31550,2.307,112.088,96.055,156.698
20251114,1,BP011,C,2,10,FF0062,Milk,Gourmino Hornbacher cheese,LPS+,sample,0.954,26363,1.850,106.399,79.719,118.774
20251114,1,BP011,C,3,10,FF0063,Milk,Belper knolle cheese,LPS+,sample,1.020,6689,1.731,114.048,17.758,108.915
20251114,1,BP011,C,4,10,FF0091,Soy,MeeChun Salted black bean,LPS+,sample,1.133,8809,2.009,127.336,24.435,131.990
20251114,1,BP011,C,5,10,FF0092,Soy,New York Natto Organic,LPS+,sample,0.998,21858,2.060,111.543,65.531,136.244
20251114,1,BP011,C,6,10,FF0093,Milk,Kalona Supernatural Organic Cultured Buttermilk,LPS+,sample,1.075,24161,1.705,120.484,72.784,106.801
20251114,1,BP011,C,7,10,FF0124,milk,white mountain bulgarian yogurt,LPS+,sample,0.969,25242,1.679,108.183,76.189,104.645
20251114,1,BP011,C,8,10,FF0125,milk,straus organic yogurt,LPS+,sample,0.865,22089,1.607,96.047,66.259,98.609
20251114,1,BP011,C,9,10,FF0126,Milk,nancy's probiotic whole milk yogurt,LPS+,sample,0.888,25542,1.644,98.727,77.134,101.752
20251114,1,BP011,C,10,10,FF0127,Milk,bellwether farms a2 organic whole milk yogurt,LPS+,sample,0.926,28947,1.727,103.182,87.857,108.617
20251114,1,BP011,C,11,10,positive_control,Control,PBS,LPS+,positive control,0.868,37089,1.592,96.370,113.500,97.390
20251114,1,BP011,C,12,10,positive_control,Control,PBS,LPS+,positive control,0.936,31250,1.661,104.329,95.111,103.111
20251114,1,BP011,D,1,10,FF0043,Milk,Laura Chenel,LPS+,sample,1.041,39042,2.094,116.599,119.651,139.013
20251114,1,BP011,D,2,10,FF0062,Milk,Gourmino Hornbacher cheese,LPS+,sample,1.027,23170,1.964,114.888,69.663,128.226
20251114,1,BP011,D,3,10,FF0063,Milk,Belper knolle cheese,LPS+,sample,1.045,7499,1.830,117.047,20.309,117.140
20251114,1,BP011,D,4,10,FF0091,Soy,MeeChun Salted black bean,LPS+,sample,1.203,20847,2.003,135.428,62.347,131.459
20251114,1,BP011,D,5,10,FF0092,Soy,New York Natto Organic,LPS+,sample,1.028,28596,1.926,115.082,86.752,125.083
20251114,1,BP011,D,6,10,FF0093,Milk,Kalona Supernatural Organic Cultured Buttermilk,LPS+,sample,0.997,27675,1.727,111.429,83.851,108.592
20251114,1,BP011,D,7,10,FF0124,milk,white mountain bulgarian yogurt,LPS+,sample,0.874,28947,1.596,97.006,87.857,97.772
20251114,1,BP011,D,8,10,FF0125,milk,straus organic yogurt,LPS+,sample,0.885,26874,1.569,98.348,81.329,95.458
20251114,1,BP011,D,9,10,FF0126,Milk,nancy's probiotic whole milk yogurt,LPS+,sample,0.836,25783,1.609,92.647,77.893,98.783
20251114,1,BP011,D,10,10,FF0127,Milk,bellwether farms a2 organic whole milk yogurt,LPS+,sample,0.829,23100,1.626,91.853,69.443,100.234
20251114,1,BP011,D,11,10,positive_control,Control,PBS,LPS+,positive control,0.853,30469,1.621,94.561,92.651,99.845
20251114,1,BP011,D,12,10,positive_control,Control,PBS,LPS+,positive control,0.940,32402,1.619,104.740,98.739,99.654
