Sample Number	Sample	Substrate category	Food type	sample state	Source sample ID	Metabolomics	Metagenomics	NFkB_bioassay runs	RNAseq runs	ingredients	producer	producer_country	main ingredient	dominant_fermentation_chemistry	Sample notes	all_ingredients	main_ingredient_organic_status	producer	dominant_fermentation_chemistry	foodon_high	foodon_mid	foodon_specific	foodon_parent_label	foodon_grandparent_label	foodon_lineage	foodon_specific_canonical_id
FF0124	White Mountain Bulgarian Yogurt	Dairy	Yogurt	ready to eat	FF0124	yes	yes	1	0	Grade A Pasteurized Whole Milk and Live Cultures (L. Acidophilus, L. Bulgaricus, S. Thermophilus, B. Bifidum)	White Mountain Foods	US	milk	lactic acid		Grade A Pasteurized Whole Milk and Live Cultures (L. Acidophilus, L. Bulgaricus, S. Thermophilus, B. Bifidum)	not_organic	White Mountain Foods	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0125	Straus Organic Yogurt	Dairy	Yogurt	ready to eat	FF0125	yes	yes	1	2	Pasteurized Organic Whole Milk, Organic Sweet Cream Buttermilk, Living Yogurt Cultures: L. Acidophilus, L. Bulgaricus, S. Thermophilus and Bifi­dobacterium Lactis.	Straus Family Creamery	US	milk	lactic acid		Pasteurized Organic Whole Milk, Organic Sweet Cream Buttermilk, Living Yogurt Cultures: L. Acidophilus, L. Bulgaricus, S. Thermophilus and Bifi­dobacterium Lactis.	organic	Straus Family Creamery	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0126	Nancy'S Probiotic Whole Milk Yogurt	Dairy	Yogurt	ready to eat	FF0126	yes	yes	1	0	Organic Pasteurized Whole Milk, Organic Pasteurized Nonfat Milk, Live Yogurt Cultures: S. Thermophilus, L. Bulgaricus. Live Probiotic Cultures: Bifidobacterium Lactis BB-12, L. Acidophilus LA-5, L. Rhamnosus LB3, L. Casei (2 Isolated Strains), L. Rhamnosus (2 Isolated Strains), L. Acidophilus (2 Isolated Strains), Bifidobacterium Lactis (2 Isolated Strains).	Nancy’s	US	milk	lactic acid		Organic Pasteurized Whole Milk, Organic Pasteurized Nonfat Milk, Live Yogurt Cultures: S. Thermophilus, L. Bulgaricus. Live Probiotic Cultures: Bifidobacterium Lactis BB-12, L. Acidophilus LA-5, L. Rhamnosus LB3, L. Casei (2 Isolated Strains), L. Rhamnosus (2 Isolated Strains), L. Acidophilus (2 Isolated Strains), Bifidobacterium Lactis (2 Isolated Strains).	organic	Nancy’s	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0127	Bellwether Farms A2 Organic Whole Milk Yogurt	Dairy	Yogurt	ready to eat	FF0127	yes	yes	1	0	organic A2 milk, live active cultures: S. thermophilus, L. bulgaricus, L. casei, L. acidophilus, Bifidus	Bellwether Farms	US	milk	lactic acid		organic A2 milk, live active cultures: S. thermophilus, L. bulgaricus, L. casei, L. acidophilus, Bifidus	organic	Bellwether Farms	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0128	Alexandre Family Famr A2/A2 Organic Plain Yogurt	Dairy	Yogurt	ready to eat	FF0128	yes	yes	3	2	Organic Milk, Organic Cream, and Live & Active Cultures: Streptococcus Thermophilus, Lactobacillus Delbrueckii Subsp. Bulgaricus, Lactobacillus Delbrueckii Subsp. Lactis, Lactobacillus Acidophilus, Bifidobacterium Lactis	Alexandre Family Farms	US	milk	lactic acid		Organic Milk, Organic Cream, and Live & Active Cultures: Streptococcus Thermophilus, Lactobacillus Delbrueckii Subsp. Bulgaricus, Lactobacillus Delbrueckii Subsp. Lactis, Lactobacillus Acidophilus, Bifidobacterium Lactis	organic	Alexandre Family Farms	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0129	La Fermiere Creamy Whole Milk Yogurt	Dairy	Yogurt	ready to eat	FF0129	yes	yes	1	0	PASTEURIZED WHOLE MILK, PASTEURIZED CREAM, LIVE ACTIVE CULTURES (S. THERMOPHILUS, L. BULGARICUS)	La Fermière	US	milk	lactic acid		PASTEURIZED WHOLE MILK, PASTEURIZED CREAM, LIVE ACTIVE CULTURES (S. THERMOPHILUS, L. BULGARICUS)	not_organic	La Fermière	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0130	Good Culture Cottage Cheese	Dairy	Cottage cheese	ready to eat	FF0130	yes	yes	3	2	organic skim milk, organic whole milk, organic cream, sea salt, live and active cultures (Lactococcus ssp., Lactobacillus ssp.)	Good Culture	US	milk	lactic acid		organic skim milk, organic whole milk, organic cream, sea salt, live and active cultures (Lactococcus ssp., Lactobacillus ssp.)	organic	Good Culture	lactic acid	animal-based food product	fresh cheese	cottage cheese	uncured cow milk cheese food product	cow milk cheese	cottage cheese > uncured cow milk cheese food product > cow milk cheese > animal food product	FOODON:03301605
FF0131	Vermont Creamery Creme Fraiche	Dairy	Creme fraiche	ready to eat	FF0131	yes	yes	1	0	Pasteurized Cultured Cream	Vermont Creamery	US	milk	lactic acid		Pasteurized Cultured Cream	not_organic	Vermont Creamery	lactic acid	animal-based food product	fermented cream product	crème fraîche	27150 - sour cream products (efsa foodex2)	26910 - fermented milk or cream (efsa foodex2)	27160 - sour cream, plain (efsa foodex2) > 27150 - sour cream products (efsa foodex2) > 26910 - fermented milk or cream (efsa foodex2) > animal food product	FOODON:03542716
FF0132	Good Culture Cream Cheese Spread	Dairy	Cream cheese	ready to eat	FF0132	no	yes	1	0	cream, nonfat milk, sea salt, live and active cultures (Bifidobacterium spp.)	Good Culture	US	milk	lactic acid		cream, nonfat milk, sea salt, live and active cultures (Bifidobacterium spp.)	not_organic	Good Culture	lactic acid	animal-based food product	fresh cheese	cream cheese	uncured cow milk cheese food product	cow milk cheese	cream cheese > uncured cow milk cheese food product > cow milk cheese > animal food product	FOODON:03301889
FF0133	Le Chatelain Camembert	Dairy	Cheese	ready to eat	FF0133	yes	yes	1	0	PASTEURIZED COWS MILK, CHEESE CULTURES, SALT, ENZYMES	Le Châtelain	France	milk	lactic acid		PASTEURIZED COWS MILK, CHEESE CULTURES, SALT, ENZYMES	not_organic	Le Châtelain	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
